query,rewritten,source,noisy_query
vinyl house trim cost per foot,"What is the cost per foot of vinyl house trim (molding, exterior decor) installation?",ms_marco,vumul houde trim cost per foit
why alkali metals have low melting and boiling points,"What are the reasons (explanations, causes) why alkali metals have low melting points (temperatures) and boiling points (temperatures)?",natural_questions,hy alkal etas have low melting and boiling poitnd
How is caffeine addiction diagnosed,"How is caffeine dependence (addiction, habituation) diagnosed (identified, detected)?",ms_marco,How is caffeine addiction diagnosed
who sings the counting to 4 song on sesame street,"Who performs (sings, vocalist) the counting to 4 song (number, numerical) on Sesame Street (children's TV show, educational program)?",natural_questions,who sing the cunting to 4 song on sesame street
when was the first lever action rifle invented,"When was the first lever-action (breech-loading, repeating) rifle invented?",natural_questions,when was the first lever action rifle invented
What significant milestone was reached in the project described in the context?,"What notable achievement (milestone, landmark, breakthrough) was accomplished in the project mentioned in the given context (situation, background)?",,What significant milestone was reached in the project described in the context?
civil rights in the equal rights amendment,"What are the implications (effects, consequences) of the Civil Rights Movement on the Equal Rights Amendment (ERA) in terms of promoting social justice (equality, fairness) and human rights (freedoms, liberties)?",ms_marco,civil rights in the equal rights qmendment
how to cook marrow vegetable,"How to prepare (cook, boil) marrow as a vegetable (gourd, squash)?",ms_marco,how to cook marrow vegetable
who sang i'll leave the light on,"Who performed (sang, recorded) the song ""I'll Leave the Light On""?",natural_questions,hwo sangi rll leave th elighto n
how many pitches do musicians have to work with in the western musical system of today,"How many notes (pitches, tones) do musicians have to work with in the modern Western musical system of today?",natural_questions,how many pitches do musicians have to work with in the western musical system of today
where did bubba watson go to high school,What high school did Bubba Watson attend (graduate from)?,natural_questions,where did bubba watson go to high school
is bridgit mendler pregnant,"Is Bridgit Mendler expecting (pregnant, with child) a baby?",ms_marco,is bridgit mendler pregnant
What is the purpose of the Motor Neuron Disease Association of New Zealand (MNDA)?,"What is the mission (objective, goal) of the Motor Neurone Disease Association (MND, MNDA) of New Zealand?",,What is the purpose of the Motor Neuron Disease Association of New Zealand (MNDA)?
who drinks the water and who owns the zebra,"Who consumes (drinks, ingests) the water and who owns (possesses, has) the zebra (striped horse, equine)?",,who dribk the water and who owns the zebrq
"What is the reviewer's main criticism of the Wolverine ""Origin"" figure from Marvel Select?","What are the primary objections (complaints, grievances) of the reviewer regarding the Wolverine ""Origin"" action figure from Marvel Select?",,"What is the reviewer's main criticism of the Wolverine ""Origin"" figure from Marvel Select?"
how long hepatitis a shot good for,"What is the duration (length, effectiveness) of immunity from a Hepatitis A vaccination (shot, inoculation)?",ms_marco,how long hepatitis a shot good for
what is liquid petroleum gas,"What is liquid petroleum gas (LPG, propane, fuel gas, natural gas)?",ms_marco,what is liquid petroleum as
Who are the two designers behind the Belle Sauvage fashion label?,"Who are the two creators (designers, founders) behind the Belle Sauvage clothing (fashion, apparel) brand (label, company)?",,Who are the two designers behind the Belle Sauvage fashion label?
can i sell stethoscope on ebay,"Can I sell a stethoscope (medical scope, doctor's instrument) on eBay (online marketplace, auction site)?",ms_marco,can i sell stethoscope on ebay
dose and frequency of Hep b vaccine,"What is the recommended dosage and administration schedule (frequency, timing) of the Hepatitis B vaccine (HepB, immunization)?",ms_marco,dose abs frequency if gep b vaccine
brick masonry cost per square foot,"What is the average cost (price, expense) of brick masonry (bricklaying, stonework) per square foot (sq ft)?",ms_marco,brick masonry cost per squaee foot
where do i find the serial number on my brinkmann grill,"Where can I locate the serial number (identification number, product code) on my Brinkmann grill (BBQ, outdoor cooker)?",ms_marco,where do i find the serial number on my brinkmann grill
what continent is portugal in,"In which continent (region, geographical area) is Portugal located?",ms_marco,what continent is portugal in
what colour is miscarriage ribbon,"What is the color of the awareness ribbon for miscarriage (pregnancy loss, stillbirth)?",ms_marco,what colour is miscarriage ribbon
where was the first petro-chemical industry established in nigeria,"Where was the first petrochemical (oil refining, chemical processing) industry established in Nigeria (West Africa, Niger Delta region)?",,where was the first petro-chemical industry established in nigeria
what is the the earth upper mantle made of,"What is the composition (makeup, structure) of the Earth's upper mantle made of?",ms_marco,what is the the earth upper mantle made of
What is Ben Smithson's strategy for seat selection on low-cost carriers?,"What is Ben Smithson's approach (method, tactic) for choosing seats (seat allocation, seat selection) on budget (low-cost, affordable) airlines?",,What is Ben Smithson's strategy for seat selection on low-cost carriers?
What are the key areas of responsibility for METRO SUSTAINABLE in supporting the United Nations Sustainable Development Goals (SDGs)?,"What are the primary (main, key) focus areas of responsibility for METRO SUSTAINABLE in supporting the United Nations Sustainable Development Goals (SDGs, global targets, 2030 agenda)?",,What are the key areas of responsiiblity for MErRO USTAINABLE in supporting hte United Ntions Sustainable Development Gaols (SDGs)?
Why is it important to regularly clean makeup brushes?,"What is the significance (importance, necessity) of frequent sanitizing (cleaning, disinfecting) of cosmetic (makeup) brushes?",,Why is it important to regularly clean makeup brushes?
what does stp forwarding mean,What does STP (Spanning Tree Protocol) forwarding mean in computer networking?,ms_marco,what does stp forwarding mean
what led to the ottoman military decline of the nineteenth century,"What factors contributed to the decline (downfall, collapse) of the Ottoman military (armed forces, army) in the 19th century (nineteenth century, 1800s)?",natural_questions,what led to the ottoman military devline of the nineteenth century
air force major salary,"What is the average salary of a Major in the Air Force (USAF, military aviation)?",ms_marco,air force major aary
What were the two most popular types of phishing scams reported in Poland in 2020?,"What were the top two most common (prevalent, frequent) forms of phishing attacks (frauds, scams) reported in Poland during 2020?",,What were the two most popular types of phishing scams reported in Poland in20h0?
What are some reasons mentioned for going back to a hardtail bike after using a full suspension bike?,"What are the advantages (benefits, pros) of switching back to a hardtail bicycle (mountain bike, rigid bike) from a full suspension bike?",,What qre some reaons mentioned for going back to a hardtail bike after using a full suspension bike?
why do some cooking pots have wooden handles,"Why do some cookware (pots, pans) have wooden (timber, natural) handles instead of metal (aluminum, stainless steel) ones?",natural_questions,why do some cooking pots have wooden handles
how much ivermectin can a human take,"What is the recommended dosage (amount, quantity) of ivermectin that a human can safely take (consume, ingest)?",ms_marco,how much ivermectin can a human take
what kind of flavour shots at tim hortons,"What types of flavor shots (syrupts, additives) are available at Tim Hortons?",ms_marco,what kind of flavour shots at tim hortons
when was alaska added to the united states,"In what year was Alaska admitted (incorporated, annexed) as the 49th state to the United States of America?",natural_questions,whe nwas alssk aaddes to the ynited starea
what was the fall of the berlin wall,"What were the causes and consequences of the collapse (demolition, downfall) of the Berlin Wall?",ms_marco,what was the fall of the berlin wall
why are killer whales mammals,What makes orcas (killer whales) classified as mammals (warm-blooded animals)?,ms_marco,why are killer whales mammals
cost estimate to replace brake pads and rotors,"What is the estimated cost (expense, price) to replace brake pads and rotors (brake discs, brake drums) in a vehicle?",ms_marco,cost estimate to replace brake pads and rotors
who owns the rights to guns and roses,"Who owns the copyright (intellectual property, legal rights) to Guns N' Roses (band, music group)?",natural_questions,who wns te right to guns ansr odes
"What is the book ""The Ship of Brides"" about?","What is the plot (story, narrative) of the novel ""The Ship of Brides"" by Jojo Moyes?",,"What is the book The Ship of Brides"" about?"
the voice of optimus prime in transformers 2009,"Who provided the voice (vocal performance, narration) of Optimus Prime in the 2009 Transformers film (movie, motion picture)?",natural_questions,tevoice of optimusptime in tranfrmers 2009
where does human waste go on a cruise ship,"What happens to human sewage (wastewater, excrement) on a cruise ship (ocean liner, vessel)?",natural_questions,where does human waste go on a cruise ship
"What services does Martin Heating & Cooling offer in Waterford, Maine?","What services (products, solutions) does Martin Heating & Cooling provide (offer, supply) in Waterford, Maine (ME)?",,"What services does Mqrtin Heating & Cooling offer in Waterford, Maine?"
where did german chocolate cake get its name,"What is the origin (source, derivation) of the name of German chocolate cake?",natural_questions,where did german chocolate cake get its name
personality disorders are recorded on which dsm axis,"What axis of the Diagnostic and Statistical Manual of Mental Disorders (DSM) are personality disorders (psychological disorders, mental health conditions) typically classified on?",natural_questions,personality disorders are recorded on which dsm axis
when did the doctor start using a sonic screwdriver,"When did physicians (doctors, medical professionals) begin using ultrasonic (sonic) devices (instruments, tools) in medical practice?",natural_questions,when did the doctor start using a sonic screwdriver
how much sports are there in the winter olympics,"What is the total number of sports (disciplines, events) featured in the Winter Olympics?",natural_questions,how much sports are ther eibt e winter oylmpics
who was the king of england in 1950,"Who was the monarch (ruler, sovereign) of England (United Kingdom, UK) in the year 1950?",,who was the king of england in 1950
what does gordon mean,"What does the name Gordon signify (mean, imply) or what is its origin (etymology, derivation)?",ms_marco,what does gordon mesn
which was a factor that led to bacon's rebellion,"What were the causes (factors, reasons) that contributed to Bacon's Rebellion?",natural_questions,which as a factor that led to bacon's rebellion
who discovered the planet neptune,"Who discovered the planet Neptune (ice giant, eighth planet)?",ms_marco,who discovered the planet neptune
how long after bluebirds hatch do they leave nest,"What is the duration (timeframe, period) after bluebirds hatch before they fledge (leave, depart) the nest?",ms_marco,how lnoh atfer bluebirda hatch do they leave nset
when is call of duty world war ii released,"What is the release date of Call of Duty: World War II (COD WWII, Call of Duty WWII)?",,when is call fo duty world war ii released
average temperature beaumont ca,"What is the average temperature (climate, weather) in Beaumont, California (CA)?",ms_marco,average temperature beauomtn ca
when did the draft start for vietnam war,"When did the military conscription (draft) for the Vietnam War begin (start, commence)?",natural_questions,when id the draft sart for vietnam war
telephone area codes switzerland,"What are the telephone area codes (dialing codes, prefixes) in Switzerland?",ms_marco,teleohone area xodes switzerland
how many states there are in the united states,"What is the total number of states (constituent states, provinces) in the United States of America?",ms_marco,how many states there are in the united states
how much does planet fitness cost to cancel membership,"What is the fee (cost, charge) to cancel a Planet Fitness membership (subscription, enrollment)?",ms_marco,how much does planet fitness cost to cancel membership
What are some of the amenities provided by Sheraton Lisle Hotel?,"What amenities (facilities, services) are offered by the Sheraton Lisle Hotel?",,What are some of the amenities provided by Sheraton Lisle Hotel?
where did the aztecs live in south america,"What were the geographical locations (regions, territories) of the Aztecs in Mesoamerica (Central America, Latin America)?",natural_questions,ejere did the aztecs live in south america
which parameters are included in the calculation of the hdi,"What parameters are included in the calculation of the Human Development Index (HDI, development indicators, well-being metrics)?",natural_questions,ehich [arameters ar eincluded n the aclculation o the hdi
What is the purpose of the Mid-Ohio Development Exchange (MODE)?,"What is the objective (goal, function) of the Mid-Ohio Development Exchange (MODE), a regional economic development organization?",,Whay is the purpose of the Mid-Ohio Development Exchange (MODE)?
what is scrim,"What is scrim (fabric, mesh) in terms of its definition, purpose, and uses?",ms_marco,what us scrum
this is us season 1 has how many episodes,"What is the total number of episodes in Season 1 of the TV show ""This Is Us""?",natural_questions,this is us seaon  has how many episodes
who did germany have an alliance with in ww1,"Which countries (nations, states) did Germany have a military alliance (partnership, coalition) with during World War I (WWI, First World War)?",,who did geraby have an slliance with in ww
washington minimum wage,"What is the minimum wage (salary, pay rate) in Washington (D.C., state, district)?",ms_marco,washinton minomum wage
where is dancing with the stars recorded in ireland,"Where is Dancing with the Stars (DWTS) filmed (recorded, taped) in Ireland?",natural_questions,where is dancing with the stars recorded in ireland
when was steph curry drafted to the nba,"In what year was Stephen Curry selected (drafted, picked) in the NBA draft?",natural_questions,when was teph curry drafted tot he nba
define made,"What is the definition (meaning, explanation) of the term ""made"" (created, produced, manufactured)?",ms_marco,define made
What was the cause of Yosef's attempts to win more of his father’s love?,"What motivated Yosef's efforts to gain (earn, obtain) more affection (love, approval) from his father?",,What was the cause of Yosef's attempts to win more of his father’s love?
what do your parathyroid glands do,"What are the functions (roles, responsibilities) of the parathyroid glands (organs, endocrine glands)?",ms_marco,whatd o your parathyroid glands do
What are the areas of specialization for the M.Eng. degree at Penn State University?,"What are the fields of study (specializations, concentrations) for the Master of Engineering (M.Eng) degree at Penn State University?",,What are the areas of specialization for the M.Eng. degree at Penn State University?
what is sorrel,"What is sorrel (herb, leafy green, Rumex acetosella)?",ms_marco,what is sorrel
what are the functions of oxidative pentose phosphate pathway,"What are the roles (functions, purposes) of the oxidative pentose phosphate pathway (PPP, phosphogluconate pathway)?",ms_marco,wht are the functions of oxidative pentose phosjate pahwa
who was the teenage girl in mad max beyond thunderdome,Who played the role of the young female protagonist in the movie Mad Max Beyond Thunderdome?,natural_questions,who was thr teenage firl in mad maz vetond thunderfome
does fluorocarbon float,"Does fluorocarbon (fluorinated hydrocarbon, freon) float on water (H2O, liquid)?",ms_marco,does f;uorocsrbon float
cost to install wall oven,"What is the price (cost, expense) of installing a wall oven (built-in oven, wall-mounted range)?",ms_marco,cos ro instakl allobe
when was delhi designated the national capital territory,"When was Delhi officially declared (designated, named) the National Capital Territory (NCT) of India?",natural_questions,when was delhi designated the national capital territory
who did the original version of ghost riders in the sky,"Who recorded the original version of ""Ghost Riders in the Sky"" (classic cowboy song, spectral horsemen)?",natural_questions,who did the original version of ghost riders in the sky
what is the definition of roe vs wade,"What is the meaning (definition, significance) of Roe v. Wade vs. its legal (judicial, constitutional) implications?",natural_questions,what is the defintion of roe vs wade
who lived in south carolina before european settlers,"Who were the indigenous peoples (native Americans, aboriginal inhabitants) living in South Carolina prior to the arrival of European settlers (colonizers, explorers)?",natural_questions,whi lived in south carolims efore eueopean settlers
What is the reason for the Fluorescent leaving holiday goodies in the classroom?,"Why do teachers often leave festive treats (holiday goodies, seasonal snacks) in the classroom after the Fluorescent (winter, Christmas) break?",,What is te rwason for th eFluorescent leaving holiday goodies in the classroom?
when was the world trade center originally built,"When was the original World Trade Center (WTC) initially constructed (built, established)?",natural_questions,when was the world trade centr originall buolt
what number is national geographic channel on sky,What is the channel number for National Geographic (Nat Geo) on Sky TV?,natural_questions,what number is national geographic channel on sky
when did gambling became legal in atlantic city,"What year did gambling become legalized (permitted, legalized) in Atlantic City?",natural_questions,when did gambling became legal in atlantic city
what is subterranean water,"What is underground (subsurface, beneath the surface) water (aquifer, groundwater)?",ms_marco,hwat id subterranean water
what are cholinergic drugs,"What are cholinergic (acetylcholine, parasympathomimetic) drugs, and what are their effects (actions, functions)?",ms_marco,what are chlinric dugs
what is hormone therapy,"What is hormone therapy (hormone treatment, endocrine therapy)?",ms_marco,waht is hormone therapy
where do they film 8 out of 10 cats,"Where are the filming locations (sets, studios) of the TV show ""8 Out of 10 Cats"" (British comedy program)?",natural_questions,where do they film 8 out f 10 cats
how much money does a animal caretaker make,"What is the average salary (income, wages) of an animal caretaker (zookeeper, animal handler, pet sitter)?",ms_marco,how much money does a animal caretaker make
can i sue the school for not letting my daughter into prom,"Can I legally pursue (sue, litigate) a school for denying (excluding, prohibiting) my daughter's attendance to prom (formal dance, school event)?",ms_marco,can i sue the school for not letting my daughter into prom
what elements are produced by supernova explosions,"What elements are formed (created, generated) by supernovae (stellar explosions, cosmic blasts)?",ms_marco,what elements are produced by supernova exploions
Who is marketing the properties for sale mentioned in the context?,"Who is responsible for promoting (advertising, selling) the real estate (properties, houses) listed (mentioned, featured) in this context?",,Who is marketing the properties for sale mentioned in the context?
what age can i contribute to RDSP,At what age can I start contributing to a Registered Disability Savings Plan (RDSP)?,ms_marco,what age can i contribute to RDSP
"What is another name for Charleston, South Carolina?","What are other names (aliases, nicknames) for Charleston, South Carolina?",,"What is another name for Charleston, South Carolina?"
What is the anticipated launch date for Reliance Jio's operations?,"What is the expected (anticipated, projected) launch timeline (date, schedule) for Reliance Jio's services (operations, commercial rollout)?",,What is the anticipated launch date for RelianceJio's operations?
how much do expert witnesses get paid,"What is the average compensation (remuneration, payment) for expert witnesses (specialists, professionals)?",ms_marco,how much do expert witnesses get paid
What is the expected timeline for the end of the ongoing chip scarcity according to Intel CEO Pat Gelsinger?,"What is the predicted timeline (schedule, timeframe) for the resolution of the current semiconductor (chip) shortage according to Intel CEO Pat Gelsinger's forecast (prediction, outlook)?",,What is the expected timeline for the end of the ongoing chip scarcity according to Intel CEO Pat Gelsinger?
What is the basic principle of calculating pot odds in Texas hold'em poker?,"What is the fundamental concept (basis, foundation) of determining pot odds (probability, chance) in Texas hold'em poker?",,What is the basic principle of calculating pot odds in Texas hold'em poker?
how ozone layer is depleted,"What are the causes (factors, reasons) of ozone layer depletion (destruction, thinning)?",ms_marco,how ozone layer is depleted
What is the most popular type of car insurance for business purposes?,"What is the most common (popular, prevalent) type of commercial (business, corporate) auto insurance policy?",,What is the most popu;artype of car insuane forb sines purpoes?
who sang ive been waiting for a girl like you,"Who sang ""I've Been Waiting for a Girl Like You"" (performed, recorded) by Foreigner (band, artist)?",natural_questions,qjo sang ive been qaiting fpr a girl like you
where is implicit memory stored in the brain,"Where is implicit (unconscious, tacit) memory stored in the brain (cerebrum, cerebral cortex)?",natural_questions,where is implici memory stored inthe brib
the crisis that sparked the un to create an international law,"What was the global emergency (crisis, catastrophe) that led the United Nations to establish an international statute (law, regulation)?",natural_questions,hte ricsis thqt sparked the un t ocreate na onternationql law
what is the closest airport to abilene tx,"What is the nearest (closest, adjacent) airport to Abilene, TX (Texas)?",ms_marco,what is the closest airport to abilene tx
who sang the original and i am telling you,"Who sang the original ""And I Am Telling You"" (first, initial) song from the musical ""Dreamgirls""?",natural_questions,who sang the original and i am telling you
What is the main purpose of the intervention process in drug and alcohol abuse treatment?,"What is the primary objective (goal, aim) of the intervention process in substance abuse (addiction, dependence) treatment for drug and alcohol misuse (abuse, dependency)?",,What is the main purpose of he intervention process in drug and alcohol abuse treatment?
the meaning of the song 99 red balloons,"What is the interpretation (significance, meaning) of the song ""99 Red Balloons"" by Nena?",natural_questions,th emeaning of the song 9 red balloons
who is the oldest elected united states president,Who is the oldest person (individual) to be elected as President of the United States?,natural_questions,who is theo ldest elected united states presideny
who sang the original baby it's cold outside,"Who performed the original version of the song ""Baby, It's Cold Outside""?",natural_questions,ho aang the original baby it's cold outaode
different types of germs and what they look like,"What are the various types of microorganisms (germs, microbes) and their distinct characteristics (appearances, shapes)?",ms_marco,different types of germs and what they look like
what is a emg nerve conduction test,"What is an EMG (electromyogram) nerve conduction test (study, examination)?",ms_marco,whta si a emfe rmve conducitpn test
episode of parks and rec where ron gets shot,"What episode of Parks and Recreation features Ron Swanson getting shot (injured, wounded)?",,episode of parks and rec where ron getsshot
when were the first american advisors sent to vietnam,"When were the first US (American) military advisors (consultants, experts) deployed to Vietnam?",natural_questions,when were the first american advsors sent to vietnam
where is the bellerive country club in st louis,"What is the location (address) of the Bellerive Country Club in St. Louis (Saint Louis, MO)?",natural_questions,where is the bellerive country club in st louis
what is a sultana,"What is a sultana (raisin, dried fruit) in baking (cooking, culinary arts)?",ms_marco,what is a dultana
starting salary for a rn,"What is the average starting salary (compensation, wage) for a Registered Nurse (RN)?",ms_marco,starting slaary for ar n
what is a river delta,"What is a river delta (estuary, mouth) formation (structure, shape)?",ms_marco,what is a river delta
What is a dental crown and what is its purpose?,"What is a dental crown (cap, restoration) and what is its function (role, objective)?",,What is a dental crown and what is its purpose?
what age do chameleons become fully grown,"At what age do chameleons reach full maturity (adulthood, growth)?",ms_marco,ehat qge do chamelena become fully frown
What are some features of the Canon MAXIFY iB4020 printer?,"What are the key characteristics (specifications, attributes) of the Canon MAXIFY iB4020 printer?",,What are some features of the Canon MAXIFY iB4020 printer?
what is alora,"What is Alora (birth control, contraceptive) medication?",ms_marco,ega ar
What is the common concern of the customers about the necklace?,"What are the typical complaints (issues, grievances) of customers regarding necklaces (jewelry, pendants)?",,What is the comnon concern of the cstomers about thr necklace?
What is the primary source of solutes in the coastal sabkha of Abu Dhabi according to the ascending-brine model?,"What is the main origin (source, supply) of dissolved substances (solutes, salts) in the coastal sabkha (salt flat, coastal plain) of Abu Dhabi according to the ascending-brine (evaporative, concentration) model?",,What os the primary source of solutes on the coastal savkha of Abu Dhabi according to the ascending-brine model?
eastern standard time canada map,What is the Eastern Standard Time (EST) zone map in Canada?,ms_marco,eastern standard time canada map
vesta astrology meaning,"What is the significance (importance, meaning) of Vesta in astrology (star signs, zodiac)?",ms_marco,vesta atrology meqning
what body temperature is normal,"What is a normal body temperature (thermal reading, bodily heat) range?",ms_marco,what body temperature is normal
who sings if i could kiss you tonight,"Who is the artist (singer, musician) behind the song ""If I Could Kiss You Tonight""?",,who sings if i could kiss you tonight
What is the capacity of the Victorville Speedwash in terms of cars washed per month?,"What is the monthly throughput (capacity, volume) of the Victorville Speedwash in terms of vehicles (cars, automobiles) washed per month?",,What is the capacity of the Victorville Speedwash in terms of cars washed per month?
temperature in data center,"What is the ideal temperature (thermal range, heat level) in a data center (server room, computer facility)?",ms_marco,temperarurr in sata center
who was the captain of sunrisers hyderabad in ipl 2013,"Who was the captain (leader, skipper) of Sunrisers Hyderabad in IPL (Indian Premier League) 2013?",natural_questions,who was the caprin pf surnsers hyderabad in ipl 2013
how much does a sr loan officer make,"What is the average salary (compensation, income) of a senior (sr) loan officer?",ms_marco,how much does a sr loan officrr nale
what is lichen,"What is lichen (fungus, algae, symbiotic organism)?",ms_marco,what is lihcem
where was the first printing press established in india,"In which city (town, location) was the first printing press (machine, device) established in India?",natural_questions,where was the first printingpress established in india
song that has lyrics see you across the room,"What is the song with the lyrics ""see you across the room"" (identify a song with the phrase ""see you across the room"" in its lyrics)?",ms_marco,song rhat has lyeivs ese you qcross the roon
who immortalized the saying diamonds are a girl's best friend,"Who popularized (immortalized, made famous) the phrase ""diamonds are a girl's best friend""?",natural_questions,who immortalized the saying diamonds are a girl's best friend
who sings jim dandy to the rescue in the movie overboard,"What is the name of the artist (singer, musician) who performs the song ""Jim Dandy to the Rescue"" in the film (movie) Overboard?",natural_questions,who sings jim dandy to the resvue in the movie overnoarf
What does figurative language mean,"What is the definition of figurative language (metaphorical language, literary devices)?",ms_marco,What does figurative language mean
how long does it take for flanders poppy seeds to germinate,"What is the germination period (timeframe, duration) for Flanders poppy seeds?",ms_marco,how long does it take fro fladers popy eeds to egrminate
What is the purpose of Knowle Society's project regarding the land released by the abandonment of the long planned Knowle By-pass?,"What is the objective (goal, aim) of the Knowle Society's initiative (project, endeavor) concerning the land (property, terrain) freed up by the cancellation (abandonment, termination) of the long-proposed Knowle By-pass (road, highway)?",,What is the purpose f Knowle Society's roject regarding the land released by the abandnment of the long plabnes Knowle By-pass?
how many wins does france have in world cup,"How many World Cup titles (victories, championships) has France won in the FIFA World Cup history?",,how many wins does france have in world cup
when was the canada food guide last updated,"What is the latest revision date of the Canada Food Guide (dietary guidelines, nutrition guide)?",natural_questions,when was the canada food guide last updated
what were the first english colonies,"What were the initial (first, earliest) British (English) settlements (colonies, outposts) in North America?",ms_marco,whqt were tje first english colonies
who wrote the music for the hymn jerusalem,"Who composed (wrote, created) the music for the hymn ""Jerusalem""?",natural_questions,who qrotwthe jusic for the hymn jerusalem
when was the first fully automatic gun made,"When was the first fully automatic firearm (weapon, rifle) invented (developed, created)?",,qhenw ss the first fully atomqtic gun made
what will be the sequel to avengers infinity war,"What will be the next installment (sequel, follow-up) in the Avengers series after Avengers: Infinity War (Avengers 3)?",natural_questions,what will be the sequel to avengers infinity war
What is the difference between lactose intolerance and milk allergy?,"What is the distinction (difference, contrast) between lactose intolerance and milk allergy (dairy allergy, hypersensitivity to milk)?",,What is the difference between lactose intoleranc and milk allergy?
what is the term describe,"What is the definition (meaning, explanation) of the term describe (define, explain)?",ms_marco,what ist het erm decsirbe
vincent furnier is better known as who?,What is Vincent Furnier's (Alice Cooper's) stage name?,ms_marco,vinent furnier is better known as who?
what is the difference between a dolphin and a porpus,"What is the distinction (difference, contrast) between a dolphin and a porpoise (sea mammal, cetacean)?",natural_questions,what is the difference between a dolphin and a porpus
when did black people get to vote,"What year did African Americans (Blacks) gain the right to vote (suffrage, electoral rights) in the United States?",ms_marco,when did black pople get to vote
What is the purpose of the policy and procedure outlined in the context?,"What is the objective (goal, intention) of the policy and procedure outlined in this context (situation, circumstance)?",,What is the purpise of the policy and procedure outlined in the context?
where do air and food passages cross one another,"Where do the trachea (windpipe) and esophagus (food pipe) intersect (cross, overlap) in the human body?",,where do air and food passages cross one another
what is toxic poisoning,"What is toxic poisoning (intoxication, contamination) and its effects (symptoms, consequences)?",ms_marco,what is toxic poisoning
how early can you renew your driving licence,"What is the earliest time (date) to renew my driver's license (driving permit, licence renewal)?",ms_marco,how early can you renew your driving licence
what are medicaid waiver,"What are Medicaid waivers (exemptions, exceptions) and how do they work?",ms_marco,what are medicaid waivet
how many players are on a team in soccer,How many players are on a team in soccer (football)?,natural_questions,how many players are on a team in soccer
can i rollover an inherited annuity,"Can I roll over (transfer, convert) an inherited annuity (inherited investment, inherited policy) into another financial product (investment vehicle, retirement account)?",ms_marco,can i orllovee an inherited annuity
which part of the skeleton do we produce blood cells,"In which part of the skeletal system (bones, framework) do we produce blood cells (hemocytes, hematopoiesis)?",ms_marco,which part of the skeketon do we produce blood cels
who are the founding members of the eagles,"Who are the original (founding, inaugural) members of the Eagles (rock band, musical group)?",natural_questions,who are the founding members of the eagles
who plays the crystal ball in haunted mansion,"Who portrays (plays, acts as) the character of Madame Leota, the Crystal Ball (fortune-telling orb) medium, in the Haunted Mansion (spooky estate, ghostly abode)?",natural_questions,whi plays the crystal ball in haunted mansion
What were some of the achievements of the Chicago Bulls in the 1990s?,"What were some of the accomplishments (achievements, successes) of the Chicago Bulls during the 1990s (nineties)?",,Whar were some og the achievementq pf the Cihacgp Bluls in rhe 1990s?
dna definition,"What is the definition (meaning, explanation) of DNA (deoxyribonucleic acid, genetic material)?",ms_marco,dna definitino
what is a moose baby called,"What is a baby moose (calf, young) called?",ms_marco,what is a moose baby called
when does the second half of fear the walking dead season 4 start,"When does the second half of Fear the Walking Dead Season 4 premiere (start, begin, air)?",natural_questions,when does the second half of fear the walking dead season 4 start
What is the usual adult dosage for L-Methyl-MC NAC tablets?,"What is the typical (standard, recommended) adult dosage for L-Methylfolate (L-Methyl-MC, Levomefolate) tablets?",,What is the usual adult dosage for L-Methyl-M CAC tablets?
what cranial nerve is ankle reflex,"Which cranial nerve is responsible for the ankle jerk reflex (ankle deep tendon reflex, Achilles reflex)?",ms_marco,what cranial merve is anklw refkex
branding meaning,"What is the definition (meaning, significance) of branding (brand identity, corporate identity)?",ms_marco,brqndung meaning
what is a hybrid tea rose,"What is a hybrid tea rose (floribunda, cross-bred) flower (plant, bloom)?",ms_marco,what is a hybrid tea rose
salary range for registered dietitian by state,"What is the average salary range (compensation, pay scale) for a registered dietitian (RD, nutritionist) by state (region, location) in the United States?",ms_marco,salary range forregistered dietitian bystate
what is ketonuria,"What is ketonuria (ketosis, ketoaciduria)?",ms_marco,what is ketonria
how to tell if someone is missing you,"How can you determine (ascertain, figure out) if someone is missing you, longing (yearning, pining) for you, or feeling your absence?",ms_marco,how to tell i fsomeone is missing you
what animal produces tetrodotoxin,"What animal produces tetrodotoxin (TTX, neurotoxin), such as the blue-ringed octopus (sea creatures, marine animals)?",ms_marco,what anima produces tetrodotoxin
what types of organisms have the highest productivity,"What types of organisms exhibit the highest levels of productivity (efficiency, output) and biomass (biological yield, growth rate)?",natural_questions,what types of orgsbismsh ave the highest productivutt
when did the first apple phone come out,"When was the first Apple iPhone (smartphone, mobile phone) released (launched, introduced)?",natural_questions,when did the first apple phone come out
real name of kartik in yeh rishta kya kehlata hai,"What is the real name of the actor (artist, performer) who plays Kartik in the TV show ""Yeh Rishta Kya Kehlata Hai""?",,real name ofkartik in yeh rishta kya kehlata hai
What is the procedure called where beef processing companies test all of their raw beef trim before release into the food supply?,"What is the process (procedure, method) called where beef processing companies perform microbiological testing (screening, examination) on all of their raw beef trim (unprocessed beef, beef scraps) before release into the food supply (market, distribution)?",,What is the procedure called where beef processing companies test all of their raw beef trim before release into the food supply?
who does phoebe marry at the end of friends,"Who does Phoebe Buffay marry (wed, settle down with) at the finale (last episode, conclusion) of the TV show Friends?",natural_questions,hp does pgoebe marr yat hte end off riends
upper canada refers to what part of the country,"What does the term ""Upper Canada"" refer to in terms of the country's geography (region, area, territory)?",natural_questions,upper canada refers to what part of the country
